Date,high,low,open,close,volume,median,signal,sorting,slowk,slowd,SMA,SAR,macd,macdsignal,macdhist,upperband,middleband,lowerband,HT_TRENDLINE,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS
2015-04-01,254.46099853515625,245.41600036621094,247.08900451660156,253.0050048828125,26272600,249.9384994506836,2,91,57.557866999568205,45.37510459597997,266.016201171875,262.42470371526605,-5.168293512655538,-3.611644813816031,-1.5566486988395067,254.01803925235973,246.9480010986328,239.87796294490587,268.1188559696592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-02,256.0429992675781,251.87899780273438,253.07400512695312,254.32200622558594,23146600,253.96099853515625,2,92,77.99217119771212,59.56760011340098,264.6048016357422,260.35192736921664,-4.614915848700235,-3.8122990207928718,-0.8026168279073636,256.85761824430205,249.26980285644532,241.68198746858857,267.26371449437636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2015-04-03,255.25799560546875,251.10000610351562,254.29100036621094,253.69700622558594,12493500,253.1790008544922,2,93,88.15378421640953,74.5679408045633,263.0822814941406,258.44497313085117,-4.178623766128965,-3.8855639698600903,-0.29305979626887435,258.54945983958345,250.50400390625,242.45854797291656,266.6098561359274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2015-04-04,260.67498779296875,251.94200134277344,253.76100158691406,260.5979919433594,19649200,256.3084945678711,2,94,91.20539566243652,85.78378369218608,261.65104125976563,236.51499938964844,-3.238673857669511,-3.7561859474219745,0.5175120897524637,262.2518329188762,253.77880249023437,245.30577206159256,266.1003129349632,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-05,261.7980041503906,254.5749969482422,260.72100830078125,255.49200439453125,20034200,258.1865005493164,2,95,81.78302856210439,87.04740281365015,260.09656127929685,236.99819915771485,-2.872653148581662,-3.579479387653912,0.70682623907225,260.8503801101886,255.422802734375,249.99522535856144,265.4119831690295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-06,255.80499267578125,252.2050018310547,255.2740020751953,253.17999267578125,18467400,254.00499725341797,2,96,60.18491972046866,77.72444798166987,258.81028076171873,237.99019135742188,-2.737581982004798,-3.4110999065240892,0.6735179245192913,260.82448057600664,255.45780029296876,250.09112000993088,264.4812360741626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2015-04-07,253.8470001220703,244.21499633789062,253.06399536132812,245.02200317382812,30086400,249.03099822998047,2,97,28.513001267220456,56.826983183264524,257.33576049804685,238.94250386914064,-3.2513392678111472,-3.3791477787815007,0.1278085109703535,263.6504368916782,253.5977996826172,243.54516247355616,263.2160957213654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-08,246.1179962158203,239.39999389648438,244.75100708007812,243.67599487304688,21643500,242.75899505615234,2,98,14.374482582528003,34.357467856739056,255.627080078125,261.7980041503906,-3.724177242020204,-3.4481536714292416,-0.2760235705909624,264.3894601374364,251.59359741210938,238.79773468678235,262.1385010116402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0
2015-04-09,243.69400024414062,232.77099609375,243.69400024414062,236.07200622558594,28882000,238.2324981689453,2,99,11.684295226473367,18.190593025407292,253.44624084472656,261.3500439453125,-4.658779567001147,-3.690278850543623,-0.9685007164575246,260.6656247600834,246.6884002685547,232.71117577702594,260.7055197459254,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-10,239.53700256347656,234.1750030517578,236.01600646972656,236.552001953125,16365200,236.8560028076172,2,100,15.626027076342965,13.894934961781464,251.48812072753907,260.20688203125,-5.299636093299341,-4.012150299094767,-1.2874857942045743,255.47662790525035,242.90039978027343,230.3241716552965,259.0499598553537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
